i_nadph,i_r5p,nadph_phi,r5p_phi,NADPHox_Vmax,R5Pase_Vmax,retcode,cycle_index,mode,V_G6PD_uM_min,V_PGLS_uM_min,V_PGD_uM_min,V_RPI_uM_min,V_RPE_uM_min,V_TKT_Rxn1_uM_min,V_TKT_Rxn2_uM_min,V_TA_uM_min,V_R5Pase_uM_min,V_NADPHox_uM_min,V_HK1_uM_min,V_GPI_uM_min,V_PFKP_uM_min,V_ALDO_uM_min,V_TPI_uM_min,V_GAPDH_uM_min,R5P_uM,S7P_uM,NADPH_uM,NADP_uM,Ru5P_uM,X5P_uM,E4P_uM,F6P_uM,GAP_uM,G6P_uM,Glucose_uM,F16BP_uM,DHAP_uM,PGLn_uM,PGA_uM,ATP_uM,atpase_frac
11,1,0.533669923120631,0.001,0.000759796013685877,3.559297520661158e-7,Terminated,0.9996059101116118,cycle,20862.82047334789,20862.820473308704,20862.819834116555,6959.754432602844,13903.065313915877,6951.532606066446,6951.532605531949,6951.532605431473,8.221826591802966,41725.64030745273,12214.10676367374,-8648.713779867254,5254.351405351582,5254.351873588678,5254.351921471812,17460.23640146856,4.41480006897356,6.3590105013606735,10.805913114053375,0.1940868859466575,572.9493881237922,680.640106152677,3.6473952774601135,206.05013305684216,12.593486689821962,568.9699948602528,24799.04579317003,13302.695435740257,2798.589267352953,0.2601188055408555,1139.7188357369741,895.3063225853487,0.010000000000000002
12,1,1.0,0.001,0.001423719008264463,3.559297520661158e-7,Terminated,0.9998731375380343,cycle,37977.10857983388,37977.10857983375,37977.10855775154,12662.248015112365,25314.86042547863,12657.430145625354,12657.430144684706,12657.430144681795,4.817869492776508,75954.21713790271,14747.242601416703,-23229.865977470956,2084.99431223869,2084.994399636992,2084.9944654112537,16827.41901096323,3.0039936365911193,12.205527344203848,8.045122938686958,2.954877061313134,4797.574159985813,5438.091337709745,1.047109561574073,54.10588631278745,1.7879958005248717,7.096745521377659,24757.513413327917,264.19396797352215,397.3360075233652,2.226742316448615,25463.461574080477,46.4827508988294,0.010000000000000002
1,2,0.001,0.001873817422860385,1.4237190082644631e-6,6.669473707358649e-7,Terminated,0.06673657854516296,linear,39.15287750123934,39.15287737954776,39.151244166031034,37.410377976454555,1.740866988646462,0.8704325052338087,0.8704355373950432,0.8704336682394735,36.53994841660874,78.30412166719923,8808.788868765274,8769.63601312425,8771.376891343563,8771.377608259549,8771.377686272996,17543.625729205938,74.63754075713724,31.217638738744185,10.999293425042906,0.0007065749572030091,30.377938715631476,39.489577474685944,53.683195607310005,279.0065387933172,11.899755224868997,792.890811713903,24854.956146534743,12014.510270920036,2644.448309193013,0.3498766166067384,4683.939281426299,873.4835452580388,0.010000000000000002
2,2,0.001873817422860385,0.001873817422860385,2.6677894829434595e-6,6.669473707358649e-7,Terminated,0.5017512395063107,cycle,73.36273195708927,73.36273209641891,73.3646025347054,48.823463797454494,24.54113786871226,12.270570102518032,12.270566616691996,12.27056877458983,36.55289026405049,146.72733449192222,8814.84220980716,8741.47945334046,8766.020578602733,8766.01975638364,8766.019667974759,17544.30999187411,74.72925923724603,31.439952371132026,10.999032767109615,0.000967232890484913,30.924979897386876,40.17780988559116,53.97233322420989,282.28684454704296,12.025878371848835,800.7541466689466,24854.85668004776,12273.373408764377,2672.4761766427832,0.30628617645946155,4095.980911260162,882.3756040287019,0.010000000000000002
3,2,0.003511191734215131,0.001873817422860385,4.998950413663146e-6,6.669473707358649e-7,Terminated,0.73407178394932,cycle,137.46877043420082,137.4687705547811,137.4703903556201,70.19468263961562,67.27570706127244,33.63785463041468,33.63785155514129,33.63785348047943,36.55682488424747,274.9391607900296,8825.991579065916,8688.52278837944,8755.798485002422,8755.797771496153,8755.797695969173,17545.233319794275,74.51621640162199,31.67815422568106,10.998522382458324,0.0014776175417597942,31.80275205361189,41.27555047323896,54.24736146118152,286.93455821241264,12.20689627154313,811.82671401191,24854.6734780383,12649.719958913718,2712.703077943597,0.24318068776428095,3243.1671099096307,895.1878655489818,0.010000000000000002
4,2,0.006579332246575682,0.001873817422860385,9.367120381137132e-6,6.669473707358649e-7,Terminated,0.858244764700711,cycle,257.5905767773535,257.5905768262142,257.5912345839719,110.20695470991969,147.38427971905554,73.69214041909996,73.69213908004285,73.69213994396532,36.51481282195332,515.1818113615241,8846.421856232932,8588.831272202331,8736.215548167753,8736.215257707478,8736.215227486813,17546.122624606316,73.19574274443103,31.690039586412304,10.997514490339533,0.0024855096605684336,33.09480364678702,42.87289091390389,54.1164412279887,291.9896161201454,12.412223225241126,823.6685573917158,24854.337778323217,13083.25354025485,2758.332028212834,0.17115657896227698,2264.566066758324,909.8208089521136,0.010000000000000002
5,2,0.012328467394420659,0.001873817422860385,1.755227337220535e-5,6.669473707358649e-7,Terminated,0.9246865365434919,cycle,482.67078652487737,482.67078656316784,482.67130539359425,185.1248425235259,297.5464630223808,148.77323224162944,148.77323094324382,148.7732318364994,36.351608642465344,965.3420919189007,8883.97744645134,8401.30665635444,8698.853117511046,8698.85288771979,8698.85286417983,17546.47898312325,69.34864342938822,31.02488789104169,10.9955461449255,0.0044538550746163735,34.99264711200158,45.183031729831846,52.85254388363875,295.6405601900968,12.585047333418691,831.7033093499049,24853.720692775812,13452.894392257058,2796.7378583816544,0.11123679276982339,1436.4008624740827,922.3134931148023,0.010000000000000002
6,2,0.02310129700083159,0.001873817422860385,3.288975565564677e-5,6.669473707358649e-7,Terminated,0.9602779532841197,cycle,904.4110784453148,904.4110784757635,904.4114990235826,325.4205418190306,578.9909580554095,289.4954803561499,289.4954787241858,289.4954799437086,35.92505910836446,1808.8225774698856,8953.558586493971,8049.147510162924,8628.13846934864,8628.138282156684,8628.138263236013,17545.77202439159,61.223478174321244,29.129615431107126,10.99177862558205,0.008221374418063757,38.2202506971766,49.07545172305816,49.52211095286443,296.7225881684473,12.700097769902403,832.8055444813543,24852.57741601139,13699.523976509423,2822.304611001708,0.07428117778198164,893.908770212743,930.9304463680802,0.010000000000000002
7,2,0.04328761281083059,0.001873817422860385,6.16293971811718e-5,6.669473707358649e-7,Terminated,0.9794209532606516,cycle,1694.6088814955467,1694.6088815087612,1694.6090732555517,588.1186508271558,1106.4904238893425,553.2452135156424,553.2452121674127,553.2452132349456,34.873435377211855,3389.217954752288,9082.988855684242,7388.379981160707,8494.870408989183,8494.870322822195,8494.870314182277,17542.985849415043,47.196233541753756,25.306725978430325,10.984654876489095,0.015345123511040185,44.86171739267727,57.10280250670104,42.87797658546367,294.7049294093599,12.768873426674103,825.197160280151,24850.450867149637,13843.320601042637,2837.587437092107,0.0583981720644927,592.4679097620923,936.5482142775862,0.010000000000000002
8,2,0.08111308307896872,0.001873817422860385,0.00011548223819846235,6.669473707358649e-7,Terminated,0.9898761729678416,cycle,3175.0600576082093,3175.0600576240304,3175.0603114288197,1079.7826169725827,2095.2777004999043,1047.6388552104136,1047.6388527606657,1047.6388548354807,32.14375883994039,6350.120369040512,9323.481160161324,6148.421128860568,8243.698845861585,8243.6987330156,8243.698721856195,17535.036307978182,28.3864750045826,19.034049728596013,10.971234079240551,0.028765920759583515,60.97504798913843,76.73079467740216,31.85182107853199,288.47859679626447,12.807035192260976,805.538980863654,24846.499904725828,13914.211491889142,2846.0662079204376,0.06065632631901034,456.66949773273586,940.228060651478,0.010000000000000002
