i_nadph,i_r5p,nadph_phi,r5p_phi,NADPHox_Vmax,R5Pase_Vmax,retcode,cycle_index,mode,V_G6PD_uM_min,V_PGLS_uM_min,V_PGD_uM_min,V_RPI_uM_min,V_RPE_uM_min,V_TKT_Rxn1_uM_min,V_TKT_Rxn2_uM_min,V_TA_uM_min,V_R5Pase_uM_min,V_NADPHox_uM_min,V_HK1_uM_min,V_GPI_uM_min,V_PFKP_uM_min,V_ALDO_uM_min,V_TPI_uM_min,V_GAPDH_uM_min,R5P_uM,S7P_uM,NADPH_uM,NADP_uM,Ru5P_uM,X5P_uM,E4P_uM,F6P_uM,GAP_uM,G6P_uM,Glucose_uM,F16BP_uM,DHAP_uM,PGLn_uM,PGA_uM,ATP_uM
3,2,0.003511191734215131,0.001873817422860385,4.998950413663146e-6,6.669473707358649e-7,Terminated,0.7131287206935439,cycle,137.46871260751584,137.4687126313201,137.46903392095848,72.11353836359005,65.35549274339073,32.67770519874883,32.67778387137176,32.67778573035289,39.43582545032962,274.937746528792,87639.72739129768,87502.25866390813,87567.61422671682,87567.61421826099,87567.61419388978,175167.90611538352,67.87642460145751,891.8666928869928,10.997850984889729,0.0021490151395499625,29.317519242659152,38.047870865229854,8.955066835109747,1460.254683682776,0.36471038364203184,4134.651487413204,23583.21240515176,17.09972295648594,81.13773363465675,0.12046476087579838,1598.7973300761182,10279.529293694088
4,2,0.006579332246575682,0.001873817422860385,9.367120381137132e-6,6.669473707358649e-7,Terminated,0.8466072377009073,cycle,257.58771305514847,257.58771308519397,257.58812260010046,112.20408439817488,145.3840351581506,72.69198393543597,72.69204722215434,72.69204980810474,39.512090839835295,515.1758356561962,87658.59350894827,87401.00578879376,87546.38988147708,87546.3898607259,87546.38982151748,175165.47166341645,78.28220367274373,758.1513018193743,10.996000898863057,0.003999101166076151,35.16270602215594,45.56101600078239,12.24735315860701,1471.0560126417317,0.592048588688936,4157.540939392454,23582.91358895976,39.22223120771284,131.66698177535156,0.08000801645297703,1043.2085440252727,10285.553099685867
5,2,0.012328467394420659,0.001873817422860385,1.755227337220535e-5,6.669473707358649e-7,Terminated,0.9180901362266835,cycle,482.65974663131027,482.65974664825524,482.65998419972624,187.24305380208983,295.4169293484028,147.7084537053802,147.7084742124621,147.70847571885463,39.53459409543411,965.3197308324796,87695.50160439404,87212.84186094455,87508.25881097987,87508.25879482979,87508.25877136417,175164.22601829615,81.98131591828981,676.3956912153105,10.992524884196145,0.007475115833014373,40.03655146404686,51.73147317594686,14.444681491955937,1476.4131783988746,0.7878910240920161,4166.995762557024,23582.32901744532,65.70698887881669,175.19580501813064,0.05225065821486428,646.0277846991444,10288.407022023093
6,2,0.02310129700083159,0.001873817422860385,3.288975565564677e-5,6.669473707358649e-7,Terminated,0.9563103434785815,cycle,904.3711745202445,904.371174525814,904.3712591730394,327.79820020834904,576.5730593566418,288.2865309136073,288.2865288916993,288.2865294761877,39.51166598266133,1808.7424336946658,87765.37934608788,86861.00817838078,87437.58123885278,87437.58123338634,87437.58122658184,175163.44899027792,78.21489873326972,611.9779931371498,10.986004774252887,0.013995225776286518,45.07615550612759,57.96198008513083,15.282615203274636,1478.7623917037058,0.9281196162710259,4169.250175113031,23581.222281092458,88.93612994835219,206.36358315649827,0.03732509566155404,398.74856987066613,10289.853681995022
7,2,0.04328761281083059,0.001873817422860385,6.16293971811718e-5,6.669473707358649e-7,Terminated,0.9767357509899552,cycle,1694.4673202495412,1694.467320256109,1694.4674392584332,591.1028588424819,1103.364586866276,551.6823326751071,551.6822624868219,551.6822643996802,39.4205096776685,3388.9347595122567,87896.60841118255,86202.14110400666,87305.50563559317,87305.50563465321,87305.50563362983,175162.69359906582,66.10589427739966,537.9162129926249,10.973784262067435,0.026215737961752406,52.707696335496756,67.24333150392374,14.7298254977109,1479.1165611908866,1.0290907411140486,4166.128789680334,23579.143947913777,107.8689698690543,228.80572014854957,0.033516867165910395,259.1333677207309,10290.705085225398
8,2,0.08111308307896872,0.001873817422860385,0.00011548223819846235,6.669473707358649e-7,Terminated,0.9876667038504046,cycle,3174.5620993692783,3174.56209936741,3174.562061419446,1084.2891846472246,2090.272867669178,1045.1363863291003,1045.1364694626343,1045.1364668941533,39.15281451680301,6349.124160786956,88142.4439096821,84967.88187338391,87058.15483162088,87058.15484149306,87058.15485200689,175161.4460824265,45.31493627037698,432.9387572282049,10.95088829310109,0.04911170692809079,68.44752678788146,86.33852391854595,12.530957509144944,1477.4726191539542,1.1100033299556333,4156.381383431338,23575.25088083197,124.35178706448222,246.78938071440191,0.040728165914175316,189.7766313659637,10291.304901024847
9,2,0.15199110829529336,0.001873817422860385,0.00021639262996719168,6.669473707358649e-7,Terminated,0.993566013987661,cycle,5946.572057146285,5946.57205714529,5946.572033735212,2007.6974169531104,3938.8746043975793,1969.4372650614348,1969.4373234214413,1969.4373207453045,38.26016143704533,11893.144090880178,88602.12198900216,82655.5500842314,86594.42478233602,86594.42482114934,86594.42486068307,175158.28694975123,21.780094690287847,297.5958890389622,10.908005028119236,0.0919949719099102,107.9414151699321,134.2800857440243,8.603348527361723,1472.3885075561632,1.159741789441783,4135.306627221433,23567.972574440842,134.98607468282648,257.84381434586834,0.06249855932235489,170.4780870293607,10291.652808961355
10,2,0.2848035868435802,0.001873817422860385,0.0004054802802111039,6.669473707358649e-7,Terminated,0.9968236507977585,cycle,11135.78079947873,11135.78079947884,11135.780801987361,3735.507693041175,7400.2731117459125,3700.1365625094522,3700.1365527800017,3700.136554083907,35.37112845876068,22271.561601466045,89460.01309534835,78324.23208054999,85724.50511031668,85724.5050534713,85724.50499227441,175149.14660666385,7.613817953713423,184.56617659547194,10.827727285639728,0.1722727143893805,216.00040331328975,264.03660741892264,4.406196834636941,1459.6896843888312,1.0974852422314192,4092.8525592233277,23554.393295402988,121.34572934289613,244.0051932860114,0.10814904855517685,199.4301796528053,10291.270430947907
11,2,0.533669923120631,0.001873817422860385,0.000759796013685877,6.669473707358649e-7,Terminated,0.9985183574808394,cycle,20841.374120072516,20841.374120069842,20841.374063500993,6967.710944432421,13873.66305189655,6936.831478315538,6936.831493489738,6936.83149360149,30.879466054031763,41682.74818357035,91067.49422619566,70226.11992603687,84099.78284852335,84099.78283454748,84099.78281056939,175136.39712320207,3.3795377701292777,189.64859327915283,10.677606020869387,0.32239397915972917,573.307334132603,681.1983389696962,1.5645782261508752,1428.9271659836381,0.6791550405834751,4002.4438203748173,23528.96348051687,49.645558473219474,151.02356773701632,0.20120008580809132,354.3398069079759,10287.152876346223
12,2,1.0,0.001873817422860385,0.001423719008264463,6.669473707358649e-7,Terminated,NaN,undetermined,1.7952195933743096e-6,1.7952196184207274e-6,1.7952196491053067e-6,1.7961304840100633e-6,-4.596675854356524e-10,-2.5705447096342067e-13,1.2710799053486877e-10,7.372751466687756e-14,1.7969781568420116e-6,3.5904393133548722e-6,1.7950922697449542e-6,-1.2721928321030517e-10,1.5143691188046713e-20,1.5143692443061432e-20,5.318667114037979e-19,1.2677720998033138e-10,5.077747094787318e-7,18789.74762297281,4.249356936527837e-11,10.999999999986672,2.703617686732849e-7,3.514706578159879e-7,2.651813308837844e-5,2.2522285983975393e-11,1.5600319563823906e-18,6.256052755667945e-11,24999.999999970383,1.0741577728781268e-25,3.4667376854326754e-16,1.5016689079222634e-11,1.8397073478640354e-11,1.1910666329744242e-9
